,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Campechuela,20.2342,-77.2789,88.81,63,86,3.89,CU,1661032210
1,Jamestown,42.097,-79.2353,83.79,47,100,6.91,US,1661032211
2,East London,-33.0153,27.9116,55.15,65,86,16.46,ZA,1661032211
3,Davila,18.4726,120.5763,75.18,78,81,2.48,PH,1661032211
4,Hermanus,-34.4187,19.2345,46.8,69,39,6.91,ZA,1661032212
5,Kargil,34.5667,76.1,56.59,60,16,7.4,IN,1661032212
6,Mahébourg,-20.4081,57.7,71.89,73,75,16.11,MU,1661032212
7,Kamenka,51.3223,42.7678,69.03,23,100,16.17,RU,1661032213
8,Lufkin,31.3382,-94.7291,87.93,82,40,5.75,US,1661032155
9,Kahului,20.8947,-156.47,87.82,60,20,21.85,US,1661031944
10,Lata,40.1629,-8.3327,64.81,94,1,2.35,PT,1661032213
11,Busselton,-33.65,115.3333,55.96,72,100,4.92,AU,1661032214
12,Ushuaia,-54.8,-68.3,40.66,70,20,2.3,AR,1661032014
13,eMkhomazi,-30.2067,30.7978,58.68,48,0,19.66,ZA,1661032214
14,Hilo,19.7297,-155.09,85.28,72,75,10.36,US,1661032215
15,Ondarroa,43.3167,-2.4167,70.99,95,85,4.47,ES,1661032215
16,Malbork,54.0359,19.0266,70.88,97,93,4.29,PL,1661032215
17,Terrace,54.5163,-128.6035,80.51,44,0,0.0,CA,1661031932
18,Ponta do Sol,32.6667,-17.1,75.7,62,3,2.68,PT,1661031917
19,Manokwari,-0.8667,134.0833,79.48,75,100,9.8,ID,1661032059
20,Vaini,-21.2,-175.2,71.76,88,40,10.36,TO,1661032216
21,Thompson,55.7435,-97.8558,84.36,39,40,11.5,CA,1661032088
22,Port Elizabeth,-33.918,25.5701,52.09,77,100,9.22,ZA,1661032216
23,‘Āhuimanu,21.4447,-157.8378,87.51,61,40,18.41,US,1661032217
24,Katrineholm,58.9959,16.2072,64.29,69,100,4.85,SE,1661032217
25,Mataura,-46.1927,168.8643,48.47,92,100,1.88,NZ,1661032217
26,Mossamedes,-15.1961,12.1522,62.08,88,26,3.53,AO,1661032218
27,Muros,42.7762,-9.0603,67.84,80,21,6.29,ES,1661032218
28,Barrow,71.2906,-156.7887,33.82,80,100,11.5,US,1661032218
29,Bethel,41.3712,-73.414,87.89,45,0,3.44,US,1661032124
30,Karoi,-16.8099,29.6925,60.98,24,0,3.8,ZW,1661032219
31,Yar-Sale,66.8333,70.8333,48.76,56,100,9.53,RU,1661032219
32,Albany,42.6001,-73.9662,90.01,48,56,1.99,US,1661032219
33,Māngrol,21.1167,70.1167,80.01,86,92,16.42,IN,1661032220
34,Doha,25.2867,51.5333,93.18,68,4,3.44,QA,1661032220
35,North Bend,43.4065,-124.2243,82.24,61,0,14.97,US,1661031920
36,Tasiilaq,65.6145,-37.6368,37.2,99,100,0.96,GL,1661032221
37,Ahipara,-35.1667,173.1667,61.29,83,10,7.58,NZ,1661032221
38,Yellowknife,62.456,-114.3525,64.92,52,75,16.11,CA,1661032221
39,Yuzhne,46.6221,31.1013,77.0,61,0,4.5,UA,1661032222
40,Dzidzantun,21.25,-89.05,88.16,60,53,9.6,MX,1661032222
41,Bengkulu,-3.8004,102.2655,75.24,93,100,10.16,ID,1661032222
42,Najrān,17.4924,44.1277,88.45,49,94,7.09,SA,1661032223
43,Punta Arenas,-53.15,-70.9167,44.71,57,0,9.22,CL,1661032223
44,Katsuura,35.1333,140.3,76.14,97,100,7.29,JP,1661032223
45,Söderhamn,61.3037,17.0592,65.95,96,100,5.21,SE,1661032224
46,Longyearbyen,78.2186,15.6401,40.84,75,75,0.0,SJ,1661032224
47,Bredasdorp,-34.5322,20.0403,45.34,78,4,6.71,ZA,1661032225
48,Cape Town,-33.9258,18.4232,54.91,79,75,3.44,ZA,1661032136
49,Klichka,50.4457,117.996,45.1,57,73,2.89,RU,1661032225
50,Bambanglipuro,-7.95,110.2833,75.38,81,97,8.79,ID,1661032225
51,Philadelphia,39.9523,-75.1638,92.08,42,20,14.97,US,1661032023
52,Port Macquarie,-31.4333,152.9167,55.53,72,34,10.65,AU,1661032226
53,Tuktoyaktuk,69.4541,-133.0374,46.4,81,100,6.91,CA,1661032226
54,Jacareacanga,-6.2222,-57.7528,84.87,41,88,2.84,BR,1661032227
55,Hobart,-42.8794,147.3294,37.26,87,20,3.44,AU,1661032227
56,Troitskoye,52.9821,84.6757,51.78,75,99,3.67,RU,1661031958
57,Totness,5.8833,-56.3167,79.9,84,96,9.64,SR,1661032227
58,Saint-François,46.4154,3.9054,60.24,88,0,3.44,FR,1661032228
59,Avarua,-21.2078,-159.775,77.05,83,75,9.22,CK,1661032228
60,Guerrero Negro,27.9769,-114.0611,81.07,57,48,12.03,MX,1661032228
61,Bluff,-46.6,168.3333,48.79,90,97,8.08,NZ,1661032229
62,Rikitea,-23.1203,-134.9692,72.41,79,78,14.83,PF,1661032229
63,Hithadhoo,-0.6,73.0833,81.05,77,44,10.8,MV,1661032229
64,Saint-Augustin,51.226,-58.6502,61.99,81,100,9.35,CA,1661032230
65,Atuona,-9.8,-139.0333,75.83,78,23,15.79,PF,1661032230
66,Lebu,-37.6167,-73.65,52.61,87,42,21.3,CL,1661032230
67,Qaanaaq,77.484,-69.3632,38.68,54,83,2.06,GL,1661032231
68,Lorengau,-2.0226,147.2712,80.38,80,58,8.34,PG,1661032155
69,Khatanga,71.9667,102.5,38.28,74,36,3.06,RU,1661032231
70,Kiryat Gat,31.61,34.7642,82.4,83,0,3.47,IL,1661032024
71,Pecos,31.4229,-103.4932,93.29,33,40,12.66,US,1661031991
72,Nikolskoye,59.7035,30.7861,66.79,68,1,9.04,RU,1661032232
73,Torbay,47.6666,-52.7314,65.75,92,100,15.99,CA,1661032232
